eps_e,s_e,fitness,ghosts,gaps,darks,multiples
375.2353,1.9700,1.0000,0,54,116,64
384.3068,1.9700,1.0000,0,54,116,64
393.5975,1.9700,1.0000,0,54,116,64
403.1129,1.9700,1.0000,0,54,116,64
412.8583,1.9700,1.0000,0,54,116,64
422.8393,1.9700,1.0000,0,54,116,64
433.0616,1.9700,1.0000,0,54,116,64
443.5310,1.9700,1.0000,0,54,116,64
454.2536,1.9700,1.0000,0,54,116,64
465.2353,1.9700,1.0000,0,54,116,64
476.4826,1.9700,1.0000,0,54,116,64
488.0017,1.9700,1.0000,0,54,116,64
499.7993,1.9700,1.0000,0,54,116,64
511.8822,1.9700,1.0000,0,54,116,64
524.2571,1.9700,1.0000,0,54,116,64
536.9313,1.9700,1.0000,0,54,116,64
549.9118,1.9700,1.0000,0,54,116,64
563.2061,1.9700,1.0000,0,54,116,64
576.8218,1.9700,1.0000,0,54,116,64
590.7667,1.9700,1.0000,0,54,116,64
605.0487,1.9700,1.0000,0,54,116,64
619.6760,1.9700,1.0000,0,54,116,64
634.6569,1.9700,1.0000,0,54,116,64
650.0000,1.9700,1.0000,0,54,116,64
250.0000,1.9720,1.0000,0,53,116,64
256.0438,1.9720,1.0000,0,53,116,64
262.2338,1.9720,1.0000,0,53,116,64
268.5734,1.9720,1.0000,0,53,116,64
275.0663,1.9720,1.0000,0,53,116,64
281.7161,1.9720,1.0000,0,53,116,64
288.5267,1.9720,1.0000,0,53,116,64
295.5019,1.9720,1.0000,0,53,116,64
302.6458,1.9720,1.0000,0,53,116,64
309.9624,1.9720,1.0000,0,53,116,64
317.4559,1.9720,1.0000,0,53,116,64
325.1305,1.9720,1.0000,0,53,116,64
332.9906,1.9720,1.0000,0,53,116,64
341.0408,1.9720,1.0000,0,53,116,64
349.2856,1.9720,1.0000,0,53,116,64
357.7297,1.9720,1.0000,0,53,116,64
366.3780,1.9720,1.0000,0,53,116,64
375.2353,1.9720,1.0000,0,53,116,64
384.3068,1.9720,1.0000,0,53,116,64
393.5975,1.9720,1.0000,0,53,116,64
403.1129,1.9720,1.0000,0,53,116,64
